artist,song
Cam’ron,Oh Boy
Red Hot Chili Peppers,By the Way
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix
Atomic Kitten,The Tide Is High - Radio Mix
*NSYNC,Girlfriend
Robbie Williams,Somethin' Stupid
Alanis Morissette,Hands Clean
Usher,U Don't Have to Call
Creed,One Last Breath - Radio Version
The Goo Goo Dolls,Here Is Gone
Puddle Of Mudd,She Hates Me
Ludacris,Rollout (My Business)
Blazin' Squad,Crossroads - Radio Edit
Default,Wasting My Time
Michelle Branch,All You Wanted
Daniel Bedingfield,If You're Not The One
Enrique Iglesias,Escape
Puddle Of Mudd,Blurry
Coldplay,In My Place
Outkast,The Whole World (feat. Killer Mike)
P!nk,Don't Let Me Get Me - Radio Edit
50 Cent,In Da Club
Sean Paul,Get Busy
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack"
Beyoncé,Crazy In Love (feat. Jay-Z)
Counting Crows,Big Yellow Taxi
Black Eyed Peas,Where Is The Love?
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix
Black Eyed Peas,Shut Up
t.A.T.u.,All The Things She Said
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz
Busta Rhymes,I Know What You Want (feat. Flipmode Squad)
Panjabi MC,Mundian to Bach Ke
Mis-Teeq,Scandalous - U.S. Radio Edit
JAY-Z,03' Bonnie & Clyde
50 Cent,P.I.M.P.
Jamelia,Superstar
Linkin Park,Faint
DMX,X Gon' Give It To Ya
Evanescence,Bring Me To Life
Sugababes,Hole In The Head
Craig David,Rise & Fall (feat. Sting)
Three Days Grace,I Hate Everything About You
Lil Jon & The East Side Boyz,Get Low
B2K,"Bump, Bump, Bump (feat. P. Diddy)"
Baby Bash,Suga Suga
Aaliyah,Miss You - Main
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix
Blue,Sorry Seems To Be The Hardest Word
Delta Goodrem,Lost Without You
Justin Timberlake,Rock Your Body
The White Stripes,Seven Nation Army
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix
Beyoncé,Baby Boy (feat. Sean Paul)
Lil' Kim,Magic Stick
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim)
Nickelback,Someday
Blue,U Make Me Wanna - Radio Edit
Ashanti,Rain On Me
Trapt,Headstrong
Simply Red,Sunrise
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)"
Girls Aloud,Sound Of The Underground
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster
Room 5,Make Luv
Fatman Scoop,Be Faithful
Limp Bizkit,Behind Blue Eyes
Sugababes,Too Lost In You
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack"
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix
Chingy,Right Thurr
Eminem,Sing For The Moment
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix
Mýa,My Love Is Like...Wo - Main Mix
50 Cent,21 Questions
Nelly,Air Force Ones
Missy Elliott,Gossip Folks (feat. Ludacris)
Girls Aloud,Jump
Ultrabeat,Pretty Green Eyes - Radio Edit
Christina Aguilera,Fighter
Frankie J,Don't Wanna Try
Snoop Dogg,Beautiful
Floetry,Say Yes
Ginuwine,In Those Jeans
Electric Six,Danger! High Voltage - Soulchild Radio Mix
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit
Ludacris,Stand Up
Nas,I Can
3 Doors Down,When I'm Gone
Tyrese,How You Gonna Act Like That
Justin Timberlake,Cry Me a River
Westlife,Mandy
No Doubt,It's My Life
Amanda Perez,Angel
JAY-Z,Excuse Me Miss
Coldplay,Clocks
Kelly Rowland,Stole
Missy Elliott,Work It
Ashanti,Rock Wit U (Awww Baby)
Junior Senior,Move Your Feet
Audioslave,Like a Stone
Sean Paul,Like Glue
Jaheim,Put That Woman First
Jennifer Lopez,All I Have (feat. LL Cool J)
Monica,So Gone
Dido,White Flag
The Roots,The Seed (2.0)
Chingy,Holidae In
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo)
Kelly Clarkson,Miss Independent
Ja Rule,Mesmerize
Matchbox Twenty,Unwell
Outkast,The Way You Move (feat. Sleepy Brown)
Fabolous,Into You (feat. Tamia)
Switchfoot,Meant to Live
Daniel Bedingfield,If You're Not The One
Good Charlotte,Lifestyles of the Rich & Famous
Wayne Wonder,No Letting Go
The Strokes,Reptilia
Avril Lavigne,I'm with You
Will Young,Leave Right Now
Usher,Yeah! (feat. Lil Jon & Ludacris)
Maroon 5,This Love
Britney Spears,Toxic
Outkast,Hey Ya!
Hoobastank,The Reason
Anastacia,Left Outside Alone
Daddy Yankee,Gasolina
Black Eyed Peas,Let's Get It Started - Spike Mix
O-Zone,Dragostea Din Tei
Terror Squad,Lean Back
Anastacia,Sick and Tired
Gwen Stefani,What You Waiting For?
Ashanti,Only U - No Intro
The Rasmus,In the Shadows
Houston,I Like That
Beyoncé,Naughty Girl
Linkin Park,Numb
Lloyd Banks,On Fire
Akon,Locked Up
D12,My Band
Jay Sean,Eyes On You - Radio Mix
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster
Destiny's Child,Lose My Breath
Eric Prydz,Call on Me - Radio Mix
Ciara,Goodies (feat. Petey Pablo)
Kelis,Trick Me
LL Cool J,Headsprung
Spiderbait,Black Betty - Edit
George Michael,Amazing
Britney Spears,My Prerogative
Nina Sky,Move Ya Body
Baby Bash,Suga Suga
Petey Pablo,Freek-A-Leek
JAY-Z,Dirt Off Your Shoulder
Juanes,La Camisa Negra
Avril Lavigne,Nobody's Home
Robbie Williams,Radio
Black Eyed Peas,Hey Mama
Ying Yang Twins,Salt Shaker
Enrique Iglesias,Not In Love - Radio Mix
Kelis,Milkshake
Linkin Park,Breaking the Habit
JoJo,Leave (Get Out) - Radio Edit
Christina Milian,Dip It Low
Avant,Read Your Mind
Eminem,Just Lose It
Sugababes,Too Lost In You
Snoop Dogg,Drop It Like It's Hot
Sean Paul,I'm Still in Love with You (feat. Sasha)
The Shapeshifters,Lola's Theme - Radio Edit
D12,How Come
Basement Jaxx,Good Luck
Kevin Lyttle,Turn Me On
Chingy,One Call Away
T.I.,Bring Em Out
DJ Casper,Cha Cha Slide - Hardino Mix
Kylie Minogue,I Believe in You
Twista,Overnight Celebrity
N.E.R.D,She Wants To Move
Britney Spears,Everytime
U2,Vertigo
Franz Ferdinand,Take Me Out
J-Kwon,Tipsy - Club Mix
G-Unit,Wanna Get To Know You
Lil' Flip,Sunshine (feat. Lea)
Kanye West,Jesus Walks
Evanescence,My Immortal
Nelly,My Place
Lemar,If There's Any Justice
No Doubt,It's My Life
Avril Lavigne,Don't Tell Me
Twista,Slow Jamz
Green Day,American Idiot
Kelis,Millionaire
Scissor Sisters,Comfortably Numb
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul)
Kanye West,Through The Wire
Special D.,Come With Me - Radio Edit
Ludacris,Splash Waterfalls
Avril Lavigne,My Happy Ending
Dido,White Flag
Eamon,Fuck It (I Don't Want You Back)
Beyoncé,"Me, Myself and I"
3 Doors Down,Here Without You
Kanye West,All Falls Down
Twista,Sunshine (feat. Anthony Hamilton)
Katie Melua,The Closest Thing to Crazy
Usher,My Boo
Lloyd,Southside
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit
The Streets,Fit but You Know It
JUVENILE,Slow Motion
Outkast,The Way You Move (feat. Sleepy Brown)
Girls Aloud,Love Machine
Jessica Simpson,With You
Eminem,Like Toy Soldiers
Gary Jules,Mad World (Feat. Michael Andrews)
Ashlee Simpson,Pieces Of Me
Will Young,Leave Right Now
Alicia Keys,You Don't Know My Name
Mariah Carey,We Belong Together
Mario,Let Me Love You
Kanye West,Gold Digger
Rihanna,Pon de Replay
50 Cent,Candy Shop
James Blunt,You're Beautiful
Green Day,Boulevard of Broken Dreams
The Pussycat Dolls,Don't Cha
Daniel Powter,Bad Day
Akon,Bananza (Belly Dancer)
Madonna,Hung Up
50 Cent,Just A Lil Bit
Crazy Frog,Axel F
Eminem,Ass Like That
Sean Paul,We Be Burnin'
Gwen Stefani,Rich Girl
The Chemical Brothers,Galvanize
Fort Minor,Remember the Name (feat. Styles of Beyond)
50 Cent,Disco Inferno
The Game,How We Do
Chris Brown,Run It! (feat. Juelz Santana)
Mariah Carey,It's Like That
Black Eyed Peas,My Humps
Ciara,Oh (feat. Ludacris)
50 Cent,Outta Control - Remix
Baby Bash,"Baby, I'm Back"
Jennifer Lopez,Get Right
JAY-Z,Numb / Encore
The Game,Hate It Or Love It
Gorillaz,Feel Good Inc.
Black Eyed Peas,Don't Phunk With My Heart
Akon,Lonely
Bodyrockers,I Like The Way - Radio Edit
Sugababes,Push The Button
Jeezy,Soul Survivor
Eminem,Mockingbird
Shakira,La Tortura (feat. Alejandro Sanz)
Gorillaz,DARE
Snoop Dogg,Signs
Robbie Williams,Tripping
David Banner,Play
Trillville,Some Cut
D4L,Laffy Taffy
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop)
Rob Thomas,Lonely No More
Brian McFadden,Almost Here
Bobby V.,"Slow Down - 12"" Version"
Backstreet Boys,Incomplete
Pretty Ricky,Grind With Me
Kanye West,Diamonds From Sierra Leone - Remix
Snoop Dogg,Drop It Like It's Hot
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne)
Ciara,"1, 2 Step (feat. Missy Elliott) - Main"
Amerie,1 Thing
Ludacris,Get Back
Franz Ferdinand,Do You Want To
Natalie Imbruglia,Shiver
Gwen Stefani,Hollaback Girl
Pretty Ricky,Your Body
Thirty Seconds To Mars,The Kill
Alicia Keys,Karma
2Pac,Ghetto Gospel
Craig David,Don't Love You No More (I'm Sorry)
Katie Melua,Nine Million Bicycles
Lil Jon & The East Side Boyz,Lovers And Friends
Mariah Carey,Don't Forget About Us - Radio Edit
Ying Yang Twins,Wait (The Whisper Song)
Will Smith,Switch
Bow Wow,Like You (feat. Ciara)
Kaiser Chiefs,Everyday I Love You Less And Less
Kelly Clarkson,Behind These Hazel Eyes
Black Eyed Peas,Don't Lie
Westlife,You Raise Me Up
Ray J,One Wish
Papa Roach,Scars
Arctic Monkeys,I Bet You Look Good On The Dancefloor
Shayne Ward,That's My Goal
Bow Wow,Let Me Hold You (feat. Omarion)
Kaiser Chiefs,I Predict A Riot
Usher,Caught Up
Kelly Clarkson,Because of You
3 Doors Down,Let Me Go
Nickelback,Photograph
T-Pain,I'm Sprung
Destiny's Child,Cater 2 U
The Pussycat Dolls,Stickwitu
Ryan Cabrera,True
Stereophonics,Dakota
Eminem,Like Toy Soldiers
Nelly,Over And Over
Coldplay,Speed of Sound
KT Tunstall,Suddenly I See
Destiny's Child,Girl
Kelly Clarkson,Since U Been Gone
U2,Sometimes You Can't Make It On Your Own
The All-American Rejects,Dirty Little Secret
Toby Keith,As Good As I Once Was
Gwen Stefani,Cool
Foo Fighters,Best of You
Shakira,Hips Don't Lie (feat. Wyclef Jean)
Sean Paul,Temperature
Justin Timberlake,SexyBack (feat. Timbaland)
Beyoncé,Irreplaceable
Amy Winehouse,Rehab
Rihanna,SOS
Gnarls Barkley,Crazy
Busta Rhymes,Touch It
Nelly Furtado,Maneater
Bob Sinclar,Rock This Party - Everybody Dance Now
Diddy,Come to Me (feat. Nicole Scherzinger)
Madonna,Sorry
Chamillionaire,Ridin'
Black Eyed Peas,Pump It
Nelly Furtado,Promiscuous
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version
The Pussycat Dolls,Buttons
Ciara,Get Up (feat. Chamillionaire)
Eminem,Shake That
Cherish,Do It To It
Muse,Supermassive Black Hole
Chris Brown,Gimme That
Infernal,From Paris to Berlin
Cassie,Me & U
E-40,U and Dat (feat. T. Pain & Kandi Girl)
The Pussycat Dolls,Beep
Lil Jon,Snap Yo Fingers
Armand Van Helden,My My My - Radio Edit
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster"
Yung Joc,It's Goin' Down (feat. Nitti)
Shayne Ward,No Promises
Justin Timberlake,My Love (feat. T.I.)
Nickelback,Savin' Me
Nelly,Grillz
Take That,Patience
Fergie,London Bridge
Cascada,Everytime We Touch - Radio Edit
D4L,Laffy Taffy
LL Cool J,Control Myself
Beyoncé,Deja Vu (feat. Jay-Z)
P!nk,Stupid Girls
Eminem,When I'm Gone
Kelis,Bossy
Bob Sinclar,Love Generation - Radio Edit
Meck,Thunder in My Heart Again (Radio Edit)
Mary J. Blige,Be Without You - Kendu Mix
Girls Aloud,Something Kinda Ooooh
Rihanna,Unfaithful
Kanye West,Touch The Sky
Dem Franchize Boyz,"Lean Wit It, Rock Wit It"
Evanescence,Call Me When You're Sober
Chingy,Pullin' Me Back
Nickelback,Far Away
Fall Out Boy,"Dance, Dance"
Leona Lewis,A Moment Like This
T.I.,What You Know
Ludacris,Money Maker
Nick Lachey,What's Left Of Me
Jibbs,Chain Hang Low
Arctic Monkeys,When The Sun Goes Down
Rascal Flatts,Life is a Highway
Beyoncé,Check On It (feat. Slim Thug)
Keyshia Cole,Love
Lily Allen,Smile
Ne-Yo,Sexy Love
JoJo,Too Little Too Late
Mary J. Blige,One
Bubba Sparxxx,Ms. New Booty
Amy Winehouse,You Know I'm No Good
Rascal Flatts,What Hurts The Most
Red Hot Chili Peppers,Dani California
Scissor Sisters,I Don't Feel Like Dancin'
Ne-Yo,So Sick
Hinder,Lips Of An Angel
The Raconteurs,"Steady, As She Goes"
The Fratellis,Chelsea Dagger
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga)
The Pussycat Dolls,Stickwitu
Panic! At The Disco,I Write Sins Not Tragedies
James Blunt,Goodbye My Lover
Christina Aguilera,Ain't No Other Man
Westlife,The Rose
Keane,Is It Any Wonder?
Orson,No Tomorrow
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones)
KT Tunstall,Black Horse And The Cherry Tree
Natasha Bedingfield,Unwritten
Razorlight,America
James Morrison,You Give Me Something
Snow Patrol,You're All I Have
The Fray,How to Save a Life
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair)
My Chemical Romance,Welcome to the Black Parade
Razorlight,In The Morning
The All-American Rejects,Dirty Little Secret
James Morrison,Wonderful World
Chris Brown,Yo (Excuse Me Miss)
P!nk,Who Knew
The Kooks,Naive
Leona Lewis,Bleeding Love
Rihanna,Umbrella
Britney Spears,Gimme More
Fergie,Big Girls Don't Cry (Personal)
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited
Plain White T's,Hey There Delilah
Justin Timberlake,What Goes Around.../...Comes Around (Interlude)
Gwen Stefani,The Sweet Escape
Timbaland,The Way I Are
Nelly Furtado,Say It Right
Ida Corr,Let Me Think About It
Alex Gaudino,Destination Calabria - Radio Edit
September,Cry for You
Akon,Smack That
Timbaland,Give It To Me
50 Cent,Ayo Technology
Eric Prydz,Proper Education - Radio Edit
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit
Ciara,Like a Boy
Kanye West,Stronger
Beyoncé,Beautiful Liar
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix
Akon,I Wanna Love You
Soulja Boy,Crank That (Soulja Boy)
Fat Joe,Make It Rain
P!nk,U + Ur Hand
Rihanna,Shut Up And Drive
Lloyd,Get It Shawty
Kanye West,Can't Tell Me Nothing
Camille Jones,The Creeps - Fedde Le Grand Radio Mix
Linkin Park,What I've Done
Keyshia Cole,Last Night
Chris Brown,Kiss Kiss (feat. T-Pain)
Shop Boyz,Party Like A Rock Star
Finger Eleven,Paralyzer
Justin Timberlake,Summer Love
MiMS,This Is Why I'm Hot
Fabolous,Make Me Better
Seether,Fake It
Take That,Patience
Arctic Monkeys,Brianstorm
Justin Timberlake,My Love (feat. T.I.)
Fergie,Glamorous
Linkin Park,Bleed It Out
My Chemical Romance,Teenagers
Calvin Harris,Acceptable in the 80's
Sugababes,About You Now
Avril Lavigne,Girlfriend
Ne-Yo,Because Of You
Daughtry,It's Not Over
Unk,Walk It Out
Lloyd,You
Klaxons,Golden Skans
T-Pain,Bartender (feat. Akon)
Baby Boy Da Prince,The Way I Live - Main Explicit
Fergie,Fergalicious
Omarion,Ice Box
Pretty Ricky,On the Hotline - Amended Version
Nickelback,Rockstar
Fall Out Boy,Thnks fr th Mmrs
Justin Timberlake,LoveStoned / I Think She Knows (Interlude)
All Time Low,"Dear Maria, Count Me In"
Amy Winehouse,Back To Black
Keyshia Cole,Let It Go
Ciara,Promise
Enrique Iglesias,Do You Know? (The Ping Pong Song)
T2,Heartbroken - Edit
Robyn,With Every Heartbeat
Maroon 5,Makes Me Wonder
Fall Out Boy,"This Ain't A Scene, It's An Arms Race"
Paramore,Misery Business
Hinder,Better Than Me
Huey,"Pop, Lock & Drop It - Video Edit"
Foo Fighters,The Pretender
Plies,Shawty (feat. T Pain)
Kaiser Chiefs,Ruby
Mark Ronson,Stop Me (feat. Daniel Merriweather)
Bow Wow,Outta My System (feat. T-Pain & Johntá Austin)
Jim Jones,We Fly High
The Red Jumpsuit Apparatus,Face Down
MIKA,Grace Kelly
Christina Aguilera,Candyman
Sean Kingston,Beautiful Girls
Akon,Don't Matter
James Blunt,1973
Carrie Underwood,Before He Cheats
Just Jack,Starz In Their Eyes
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc)
Bone Thugs-N-Harmony,I Tried
Avril Lavigne,When You're Gone
Rich Boy,Throw Some D's
MIKA,Love Today
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson)
Elliott Yamin,Wait for You
Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)"
Boys Like Girls,The Great Escape
Take That,Rule The World - Radio Edit
J. Holiday,Bed
Red Hot Chili Peppers,Snow (Hey Oh)
Ludacris,Runaway Love
Flo Rida,Low (feat. T-Pain)
Katy Perry,I Kissed A Girl
Rihanna,Take A Bow
Alicia Keys,No One
Timbaland,Apologize
Ne-Yo,Miss Independent
Chris Brown,With You
Beyoncé,If I Were a Boy
